Name,Latitude,Longitude,Bot_Depth,Chl_su,PAR_su,SST_su,Chl_au,PAR_au,SST_au,Chl_win,PAR_win,SST_win,Chl_sp,PAR_sp,SST_sp
St2437,20.625,115.625,-354,0.131270006,45.33728027,29.43278313,0.159639999,28.40546036,26.71465111,0.359849989,26.65714073,23.45719719,0.140660003,43.23585129,26.64221573
St2438,20.625,115.791664,-424,0.11795,45.45571899,29.472229,0.144350007,28.34630013,26.77417755,0.326249987,26.76779938,23.45074272,0.138659999,43.47134018,26.68524742
St2439,20.625,116.041664,-452,0.106370002,45.03329086,29.55255318,0.157289997,28.43161011,26.81075478,0.321999997,26.81624031,23.59561539,0.136449993,44.91601181,26.74333954
St2440,20.625,116.208336,-486,0.107819997,45.26350021,29.50450134,0.183610007,28.38689041,26.81792641,0.321610004,27.23545074,23.73618317,0.139469996,45.09029007,26.77561188
St2441,20.625,116.375,-435,0.111220002,45.52853012,29.51597595,0.173690006,28.45104027,26.82079506,0.321700007,27.36370087,23.68597984,0.152040005,44.75453186,26.75051117
St2442,20.625,116.625,-390,0.168300003,45.25617981,29.40122604,0.206200004,29.0569706,26.63647842,0.348949999,28.11421013,23.64725113,0.216370001,45.41078186,26.71034813
St2443,20.625,116.791664,-206,1.964220047,45.6050415,29.75408173,1.977980018,28.31332016,26.67664146,2.170059919,28.05672073,23.64438248,2.341449976,45.1294899,27.34075356
St2444,20.625,117.041664,-398,0.140320003,45.84904861,29.44425774,0.173779994,28.48611069,26.98287964,0.330570012,27.62310982,23.74048615,0.153669998,45.67866898,26.75409698
St2445,20.625,117.208336,-534,0.12483,45.88735962,29.46648979,0.161400005,28.59942055,26.9699707,0.307040006,27.82360077,23.86455917,0.130280003,46.04167938,26.82079506
St2446,20.625,117.375,-872,0.108120002,45.89569092,29.41341972,0.165820003,28.80199051,26.94773674,0.295359999,27.84256935,23.97357178,0.11913,45.81792068,26.847332
St2447,20.625,117.625,-1209,0.102339998,45.84833908,29.49661255,0.177640006,29.17424965,27.12057877,0.292930007,28.16032982,24.0897541,0.121639997,45.86555099,27.05818367
St2448,20.625,117.791664,-1981,0.099950001,46.23596954,29.56546211,0.161909997,29.13858986,27.03451729,0.269340008,28.03545952,24.10983658,0.118610002,46.31317902,27.1062355
St2449,20.625,118.041664,-1823,0.103260003,45.94728088,29.53175354,0.148589998,29.40921974,27.11627579,0.27759999,28.14650917,24.19876671,0.110529996,45.46350098,27.15930748
St2450,20.625,118.208336,-2206,0.096759997,46.16291046,29.49876404,0.156990007,29.03162956,27.11914444,0.260159999,28.21614075,24.26689911,0.10932,45.17166138,27.31278419
St2451,20.625,118.375,-2462,0.09206,45.89509964,29.57837105,0.170819998,29.18152046,27.19444847,0.268570006,28.21665001,24.4268322,0.110069998,45.24586868,27.43183708
St2452,20.625,118.625,-2689,0.09172,45.4487381,29.54107857,0.162699997,29.25880051,27.28481483,0.298559994,28.54821968,24.4813385,0.112259999,45.74921036,27.41319084
St2453,20.625,118.791664,-2609,0.092660002,45.43688965,29.57335091,0.17374,29.37236023,27.22959137,0.27511999,28.99327087,24.61473465,0.11631,45.8772583,27.44761467
St2454,20.625,119.041664,-2761,0.089029998,45.80368042,29.54179573,0.157370001,29.58498955,27.29700661,0.288870007,29.40496063,24.67497826,0.131720006,46.12984848,27.53367805
St2455,20.625,119.208336,-2839,0.089319997,45.97019958,29.5812397,0.164360002,29.34988976,27.25469208,0.284590006,29.48349953,24.74526215,0.131799996,47.20233154,27.58459663
St2456,20.625,119.375,-3021,0.089589998,46.00735092,29.52960205,0.160530001,29.78858948,27.33931923,0.287449986,30.0597496,24.79331398,0.13572,47.37862015,27.66922569
St2457,20.625,119.625,-3120,0.092469998,45.69696045,29.53605843,0.181889996,30.29734039,27.47415161,0.307390004,30.23208046,24.91451836,0.118579999,47.35152817,27.75743866
St2458,20.625,119.791664,-3392,0.093630001,45.69739151,29.5346241,0.191870004,30.64735985,27.4411602,0.298029989,30.25349998,25.04934883,0.115910001,47.25521851,27.74381256
St2459,20.625,120.041664,-3418,0.098240003,46.21055984,29.49804688,0.181309998,30.35202026,27.43470573,0.30607,30.57889938,25.11389542,0.114309996,46.85033035,27.70436668
St2460,20.625,120.208336,-3375,0.098350003,46.10477066,29.57765388,0.197060004,30.40270042,27.48777771,0.28944999,30.72246933,25.29319191,0.112769999,46.83531952,27.8112278
St2461,20.625,120.375,-3028,0.10018,45.8640213,29.57406807,0.201169997,30.40992928,27.5637989,0.271899998,30.54611969,25.47535706,0.124329999,46.9896698,27.9611187
St2462,20.625,120.625,-2662,0.093950003,46.10432816,29.6027565,0.185340002,30.52928925,27.67711449,0.214959994,30.01205063,25.79163551,0.118349999,46.9495697,28.05435371
St2463,20.625,120.791664,-2114,0.095930003,46.60268021,29.59845352,0.16674,30.77116966,27.7136898,0.176770002,30.1321907,25.96375847,0.114840001,46.65869904,28.10240555
St2464,20.625,121.041664,-2027,0.090939999,46.24296951,29.63287735,0.102470003,30.32850075,27.97618103,0.107249998,30.05767059,26.21764183,0.090850003,46.00873947,28.17914391
St2465,20.791666,110.041664,92,,,,,,,,,,,,
St2466,20.791666,110.208336,-10,,,,,,,,,,,,
